KBUpdate,Title,Architecture,LastModified,SupportedProducts,Size,SupportUrl,Link
KB4503294,2019-06 Cumulative Update for Windows 10 Version 1607 and Windows Server 2016 for x86-based Systems (KB4503294),x86,2019-06-18,Windows 10 Version 1607|Windows Server 2016,827240385,https://support.microsoft.com/en-us/topic/june-18-2019-kb4503294-os-build-14393-3053-abcd70b9-7271-b243-c41d-a00295976bde,https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2019/06/windows10.0-kb4503294-x86_a50b808a18cda8fcf3845939eddb0eba740ae9c7.msu
KB4503294,2019-06 Cumulative Update for Windows 10 Version 1607 and Windows Server 2016 for x64-based Systems (KB4503294),x64,2019-06-18,Windows 10 Version 1607|Windows Server 2016,1483374515,https://support.microsoft.com/en-us/topic/june-18-2019-kb4503294-os-build-14393-3053-abcd70b9-7271-b243-c41d-a00295976bde,https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/updt/2019/06/windows10.0-kb4503294-x64_ea815c82744b7a810fe9125460134467ff463795.msu
